,cpu,mem
0,8.45,18.36
1,8.45,18.36
2,433.95,3.55
3,433.95,3.55
4,100.15,8.30
5,100.15,8.30
6,437.06,13.86
7,437.06,13.86
8,777.98,13.86
9,777.98,13.86
10,759.88,13.86
11,759.88,13.86
12,776.43,13.86
13,776.43,13.86
14,160.50,18.05
15,160.50,18.05
16,100.88,17.86
17,100.88,17.86
18,100.97,17.44
19,100.97,17.44
20,100.51,20.88
21,100.51,20.88
22,100.01,29.98
23,100.01,29.98
24,676.32,33.04
25,676.32,33.04
26,760.27,33.04
27,760.27,33.04
28,774.33,33.05
29,774.33,33.05
30,779.38,33.04
31,779.38,33.04
32,769.61,33.04
33,769.61,33.04
34,778.98,33.04
35,778.98,33.04
36,776.87,33.04
37,776.87,33.04
38,775.09,33.04
39,775.09,33.04
40,772.13,33.04
41,772.13,33.04
42,779.62,33.04
43,779.62,33.04
44,778.50,33.04
45,778.50,33.04
46,413.67,40.37
47,413.67,40.37
48,100.15,41.34
49,100.15,41.34
50,99.99,42.29
51,99.99,42.29
52,100.69,13.32
53,100.69,13.32
54,100.69,13.32
55,705.73,15.06
56,705.73,15.06
57,353.28,6.51
58,353.28,6.51
59,177.28,10.96
60,177.28,10.96
61,782.89,10.96
62,782.89,10.96
63,778.68,10.96
64,778.68,10.96
65,165.69,8.68
66,165.69,8.68
67,100.96,13.93
68,100.96,13.93
69,100.12,17.44
70,100.12,17.44
71,100.58,20.90
72,100.58,20.90
73,187.11,32.34
74,187.11,32.34
75,783.08,32.34
76,783.08,32.34
77,781.83,32.34
78,781.83,32.34
79,772.68,32.34
80,772.68,32.34
81,777.54,32.34
82,777.54,32.34
83,781.15,32.34
84,781.15,32.34
85,783.24,32.34
86,783.24,32.34
87,782.83,32.34
88,782.83,32.34
89,781.39,32.34
90,781.39,32.34
91,776.68,32.34
92,776.68,32.34
93,779.68,32.34
94,779.68,32.34
95,778.01,32.34
96,778.01,32.34
97,412.58,41.94
98,412.58,41.94
99,100.43,41.95
100,100.43,41.95
101,99.93,41.97
102,99.93,41.97
103,100.73,14.20
104,100.73,14.20
105,436.00,18.58
106,436.00,18.58
107,778.56,18.58
108,778.56,18.58
109,778.56,18.58
110,554.36,21.39
111,554.36,21.39
112,115.73,8.67
113,115.73,8.67
114,781.28,8.67
115,781.28,8.67
116,196.28,8.88
117,196.28,8.88
118,100.26,13.73
119,100.26,13.73
120,101.17,17.18
121,101.17,17.18
122,100.18,20.65
123,100.18,20.65
124,360.84,31.20
125,360.84,31.20
126,782.05,31.20
127,782.05,31.20
128,780.03,31.20
129,780.03,31.20
130,782.42,31.20
131,782.42,31.20
132,780.58,31.20
133,780.58,31.20
134,777.77,31.20
135,777.77,31.20
136,778.55,31.20
137,778.55,31.20
138,782.44,31.20
139,782.44,31.20
140,779.04,31.20
141,779.04,31.20
142,779.74,31.20
143,779.74,31.20
144,779.24,31.20
145,779.24,31.20
146,679.35,31.20
147,679.35,31.20
148,141.26,40.81
149,141.26,40.81
150,100.53,40.83
151,100.53,40.83
152,100.23,22.11
153,100.23,22.11
154,100.35,17.30
155,100.35,17.30
156,453.06,22.74
157,453.06,22.74
158,770.70,22.74
159,770.70,22.74
160,782.49,22.74
161,782.49,22.74
162,782.49,22.74
163,775.51,22.74
164,775.51,22.74
165,177.77,26.94
166,177.77,26.94
167,420.38,7.96
168,420.38,7.96
169,100.88,10.64
170,100.88,10.64
171,100.19,14.16
172,100.19,14.16
173,100.68,17.70
174,100.68,17.70
175,213.01,28.52
176,213.01,28.52
177,780.29,28.52
178,780.29,28.52
179,780.04,28.52
180,780.04,28.52
181,779.19,28.52
182,779.19,28.52
183,780.14,28.52
184,780.14,28.52
185,778.95,28.52
186,778.95,28.52
187,782.52,28.52
188,782.52,28.52
189,780.88,28.52
190,780.88,28.52
191,778.14,28.52
192,778.14,28.52
193,781.86,28.52
194,781.86,28.52
195,777.12,28.52
196,777.12,28.52
197,667.36,36.51
198,667.36,36.51
199,100.09,37.57
200,100.09,37.57
201,100.31,37.59
202,100.31,37.59
203,100.19,15.84
204,100.19,15.84
205,100.52,19.72
206,100.52,19.72
207,464.04,26.28
208,464.04,26.28
209,780.43,26.28
210,780.43,26.28
211,781.75,26.28
212,781.75,26.28
213,780.00,26.28
214,780.00,26.28
215,779.83,26.28
216,779.83,26.28
217,727.01,26.28
218,727.01,26.28
219,727.01,26.28
220,135.55,31.84
221,135.55,31.84
222,212.34,4.73
223,212.34,4.73
224,100.18,11.13
225,100.18,11.13
226,100.43,14.71
227,100.43,14.71
228,100.71,25.25
229,100.71,25.25
230,743.46,25.42
231,743.46,25.42
232,778.90,25.42
233,778.90,25.42
234,772.12,25.42
235,772.12,25.42
236,777.14,25.42
237,777.14,25.42
238,769.16,25.42
239,769.16,25.42
240,766.26,25.42
241,766.26,25.42
242,751.62,25.42
243,751.62,25.42
244,751.46,25.42
245,751.46,25.42
246,754.69,25.42
247,754.69,25.42
248,381.08,33.55
249,381.08,33.55
250,101.57,33.57
251,101.57,33.57
252,100.35,20.53
253,100.35,20.53
254,100.66,18.18
255,100.66,18.18
256,100.68,21.81
257,100.68,21.81
258,440.48,29.50
259,440.48,29.50
260,770.14,29.50
261,770.14,29.50
262,765.70,29.50
263,765.70,29.50
264,766.23,29.50
265,766.23,29.50
266,773.80,29.50
267,773.80,29.50
268,782.72,29.50
269,782.72,29.50
270,745.26,29.50
271,745.26,29.50
272,693.89,29.50
273,693.89,29.50
274,693.89,29.50
275,155.43,36.28
276,155.43,36.28
277,138.33,1.46
278,138.33,1.46
279,129.59,9.28
280,129.59,9.28
281,100.20,12.94
282,100.20,12.94
283,241.95,21.83
284,241.95,21.83
285,776.72,21.84
286,776.72,21.84
287,780.28,21.84
288,780.28,21.84
289,776.86,21.84
290,776.86,21.84
291,778.55,21.84
292,778.55,21.84
293,779.78,21.84
294,779.78,21.84
295,776.97,21.83
296,776.97,21.83
297,778.23,21.83
298,778.23,21.83
299,341.84,28.77
300,341.84,28.77
301,100.29,28.80
302,100.29,28.80
303,100.15,16.14
304,100.15,16.14
305,100.71,19.71
306,100.71,19.71
307,100.21,23.32
308,100.21,23.32
309,452.82,31.85
310,452.82,31.85
311,771.98,31.85
312,771.98,31.85
313,780.52,31.85
314,780.52,31.85
315,771.59,31.85
316,771.59,31.85
317,776.32,31.85
318,776.32,31.85
319,781.36,31.85
320,781.36,31.85
321,776.30,31.85
322,776.30,31.85
323,775.80,31.85
324,775.80,31.85
325,777.76,31.85
326,777.76,31.85
327,507.42,34.48
328,507.42,34.48
329,105.94,39.56
330,105.94,39.56
331,105.94,39.56
332,102.35,39.81
333,102.35,39.81
334,220.63,6.35
335,220.63,6.35
336,99.98,10.36
337,99.98,10.36
338,280.42,18.09
339,280.42,18.09
340,776.97,18.09
341,776.97,18.09
342,778.37,18.09
343,778.37,18.09
344,776.20,18.09
345,776.20,18.09
346,777.76,18.09
347,777.76,18.09
348,778.36,18.09
349,778.36,18.09
350,687.37,23.80
